stocks,std,rendimiento,riesgo,coeficiente_variacion,beta,alfa,Riesgo_sistematico,Riesgo_no_sistematico,sharpie,teynor
HII,0.022902355676527,-0.1636483637196189,0.5136462804826667,-3.138719317491644,0.8481131125575497,-0.0012842892267103,0.3578715824520823,0.6421284175479176,-0.4659789680452985,-0.282212785270877
HLT,0.026488320113166,0.1621163618753028,0.5940710769899762,3.66447328399169,0.9684567548402432,-8.166038737625011e-05,0.348844275686583,0.651155724313417,0.1454646846521379,0.0892309970924392
HOLX,0.0244371789289402,0.1876474055272533,0.5480687768378497,2.920737301418484,0.8891585306076326,7.901531913212382e-05,0.3454905951030729,0.6545094048969271,0.2042579512979149,0.1259026390386771
HON,0.0219042541782368,0.0744532327821732,0.4912611979443497,6.598252078343263,1.08653610195892,-0.0005179232390369,0.6421128326664273,0.3578871673335727,-0.0025378906843115,-0.0011474696658297
HPE,0.0277947901392049,-0.0063177830133232,0.6233721444834306,-98.6694451469506,1.1397386868081956,-0.0008782701891229,0.4387971008986228,0.5612028991013771,-0.1315711389081859,-0.0719619189579425
HPQ,0.0282943233416229,0.2999363504084075,0.6345755060512774,2.1157005650939253,1.1724543400766,0.0003125333045177,0.4480982221297241,0.5519017778702758,0.3533643329597533,0.1912538021683279
HRL,0.0161462862037793,0.0265981848450166,0.3621234413314069,13.61459225287148,0.3790539904235095,-0.0001782085514941,0.1438258075808749,0.8561741924191251,-0.135594136006364,-0.1295377872163353
HSIC,0.0228280430796895,0.0615306310876403,0.5119796227162025,8.320727638677578,0.8890891614269767,-0.0004213961422657,0.3958523551013328,0.6041476448986671,-0.0276756501307357,-0.0159369493264523
HST,0.0334802188852434,-0.0407446373154223,0.7508830158364993,-18.429002325473657,1.2282715086914398,-0.0010811596803744,0.3512304391777224,0.6487695608222777,-0.1550769359001956,-0.0948036622940791
HSY,0.0181680730422463,0.1268992398599403,0.4074673921535368,3.2109521901255014,0.7560990245500878,-6.244150672068483e-05,0.451980386488827,0.548019613511173,0.1256523610130944,0.0677149926101361
